team,games,points,rank
Шахтар,30,71,8.47
Динамо,30,69,7.73
Кривбас,30,57,6.74
Дніпро-1,30,52,9.32
Полісся,30,50,7.58
Рух,30,49,6.55
ЛНЗ,30,41,6.46
Олександрія,30,34,5.88
Ворскла,30,33,6.77
Чорноморець,30,32,5.51
Колос,30,32,5.4
Зоря,30,32,4.71
Верес,30,28,5.06
Оболонь,30,26,5.33
Минай,30,25,4.25
Металіст 1925,30,23,4.22
